"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1801738550481916268","Sat Jun 15 07:56:33 +0000 2024","0","@KoalisiNetizen Kemajuan yang pesat lapangan upacara IKN 90% selesai","1801886501061673357","","KoalisiNetizen","in","","0","0","0","https://x.com/hilda_mayasari1/status/1801886501061673357","1700057873110478848","hilda_mayasari1"
"1801886463136829866","Sat Jun 15 07:56:24 +0000 2024","1","Bahlil Dicecar DPR Gegara Investor Asing di IKN Masih Nihil https://t.co/fPjEBTLWvs lewat @Keuangan News","1801886463136829866","","","in","","0","1","1","https://x.com/keuangannews_id/status/1801886463136829866","1226436091617505281","keuangannews_id"
"1801567040534348012","Sat Jun 15 07:55:34 +0000 2024","0","@an4kgembal4 Yuk pindah ke ikn ","1801886251534193019","","an4kgembal4","in","","0","0","0","https://x.com/kevinisasi_/status/1801886251534193019","575063916","kevinisasi_"
"1801657024301961491","Sat Jun 15 07:55:33 +0000 2024","0","@abu_waras tanda tanda DPR hra pindah ke IKN","1801886247759265844","","abu_waras","in","Menteng, Indonesia","0","0","0","https://x.com/podo_radong1/status/1801886247759265844","1604130313021820929","podo_radong1"
"1801886194508435860","Sat Jun 15 07:55:20 +0000 2024","0","setelah ditelusuri ternyata si bule miskin ini bikin konten di bogor bukan di IKN. Anak abah dan kaum 16% sudah dikelabui oleh konten sibule berotak kerdil","1801886194508435860","","","in","","0","0","0","https://x.com/iseesawx/status/1801886194508435860","1586774623676694528","iseesawx"
"1801270458236707105","Sat Jun 15 07:55:16 +0000 2024","1","@Bams_4GP Ohhhh Jadi bpk ini kalau pensiun pindah ke Solo ? Pada hal ke mana2 sudah sales IKN ? Katanya IKN sentrisnya Indonesia Kota ter hijau didunia kota bebas polusi banjir macet kota ternyaman Dll dsbnya promonya bangun IKN pakai duit Ratusan Triliyunan kok ngga tertarik pak ?","1801886174782660680","","Bams_4GP","in","Bekasi","0","0","0","https://x.com/adypiliang/status/1801886174782660680","1710148226","adypiliang"
"1801857535944888475","Sat Jun 15 07:54:21 +0000 2024","3","@b2bobs @UnitedTxT @Masfkr @Strategi_Bisnis Ekspornya apa dulu kalau padat karya ya bolehlah. Tapi Ekspor SDA yg berlebihan jd boncos Indonesia. Apalagi dg pengrusakan alam akibat Food Estate &amp; IKN di Kalimantan. Belum Timah jg dikorupsi. Coba jabarkan ekspor Indonesia yg tinggi di produk apa?","1801885944330793281","","b2bobs","in","Jakarta","0","1","0","https://x.com/akubarutuh/status/1801885944330793281","493870782","akubarutuh"
"1801784875651055775","Sat Jun 15 07:53:17 +0000 2024","2","@Catatan_ali7 @ariarjiwinata02 Waalaikumsalam bagaimana pesanan 3000 unit dr IKN ? Sudah dikirim ? Persiapan para dubes upacara 17 an nanti ?","1801885677174325338","","Catatan_ali7","in","Jakarta Capital Region","0","1","0","https://x.com/DrEvaChaniago/status/1801885677174325338","1355632532","DrEvaChaniago"
"1801785724590768282","Sat Jun 15 07:52:27 +0000 2024","3","@H1m4_W4r1 @tumbang_terus @Bams_4GP @jokowi @prabowo Woooy....banci kere dongoook.... Siapapun bisa tempat tinggal di IKN.... Tidak terkecuali MUKIDI..... Nggak ada hubungannya MUKIDI pny kapasitas maupun jabatan....","1801885465525817685","","H1m4_W4r1","in","","1","1","1","https://x.com/Dargomb33306384/status/1801885465525817685","1077474025662668800","Dargomb33306384"
"1801839357793603648","Sat Jun 15 07:52:25 +0000 2024","0","@agnessintiaa IKN Nusantara mendukung peningkatan penggunaan energi bersih dan ramah lingkungan","1801885460115165424","","agnessintiaa","in","","0","0","0","https://x.com/leya_aldabela5/status/1801885460115165424","1697471681135345664","leya_aldabela5"
"1801270458236707105","Sat Jun 15 07:52:15 +0000 2024","0","@Bams_4GP Mestinya mimin kasih contoh tinggal di IKN lol","1801885417689727290","","Bams_4GP","in","","0","1","0","https://x.com/sutand23/status/1801885417689727290","1488920349152583683","sutand23"
"1801885146926272545","Sat Jun 15 07:51:11 +0000 2024","1","Progres pembangunan bandara di IKN Nusantara terus berjalan saat ini landasan pacu atau runway bandara sudah mulai diaspal. Selain itu uji coba kereta tanpa rel atau Autonomous Rail Transit (ART) juga akan segera dilaksanakan. Nantinya kawasan IKN Nusantara hanya diperuntukkan https://t.co/Y2H8EZUaIR","1801885146926272545","https://pbs.twimg.com/media/GQGU-aBbEAEPYG6.jpg","","in","","0","0","0","https://x.com/KarinKosegeran/status/1801885146926272545","1742522474372435968","KarinKosegeran"
"1801839407680655640","Sat Jun 15 07:51:09 +0000 2024","0","@agnessintiaa Kami warga Padang mendukung pembangunan IKN Nusantara","1801885140173603228","","agnessintiaa","in","","0","0","0","https://x.com/rubi_aina12/status/1801885140173603228","1697084371105435648","rubi_aina12"
"1801839357793603648","Sat Jun 15 07:49:58 +0000 2024","0","@agnessintiaa IKN Nusantara mendukung terciptanya lingkungan bisnis yang inovatif dan kompetitif","1801884843560915434","","agnessintiaa","in","","0","0","0","https://x.com/wiji_nurhayati8/status/1801884843560915434","1697143991790383104","wiji_nurhayati8"
"1801839407680655640","Sat Jun 15 07:49:48 +0000 2024","0","@agnessintiaa Kami warga Pekanbaru mendukung pembangunan IKN Nusantara","1801884800720191550","","agnessintiaa","in","","0","0","0","https://x.com/juniansyah_bani/status/1801884800720191550","1697177353993252864","juniansyah_bani"
"1801882621682876517","Sat Jun 15 07:48:37 +0000 2024","0","@_mangopassionFr hah siapa yg di ikn coba","1801884501586678051","","_mangopassionFr","in","🕳️","0","1","0","https://x.com/3usri/status/1801884501586678051","1220006991130591232","3usri"
"1801839407680655640","Sat Jun 15 07:47:57 +0000 2024","0","@agnessintiaa Kami warga Denpasar akan mengawal pembangunan IKN","1801884336477847613","","agnessintiaa","in","","0","0","0","https://x.com/geryy_sujadi/status/1801884336477847613","1697460307978059776","geryy_sujadi"
"1801884167820431602","Sat Jun 15 07:47:17 +0000 2024","1","Progres pembangunan bandara di IKN Nusantara terus berjalan saat ini landasan pacu atau runway bandara sudah mulai diaspal. Selain itu uji coba kereta tanpa rel atau Autonomous Rail Transit (ART) juga akan segera dilaksanakan. Nantinya kawasan IKN Nusantara hanya diperuntukkan https://t.co/TWaJhacjD7","1801884167820431602","https://pbs.twimg.com/media/GQGT3klaQAEmTZf.jpg","","in","","0","0","0","https://x.com/pasaribunoah/status/1801884167820431602","1742341989927153664","pasaribunoah"
"1801574620228948107","Sat Jun 15 07:47:14 +0000 2024","0","@narkosun Mudah²an Pi Network segera jd mata uang global tgl 28 juni besok sehingga IKN bisa tetap lanjut","1801884153539137785","","narkosun","in","Indonesia ","0","0","0","https://x.com/sahd20720/status/1801884153539137785","1640549434407948288","sahd20720"
"1801881931455369407","Sat Jun 15 07:46:36 +0000 2024","0","Oh iya ini fiksi. IKN itu Ibukota Kakek Nenek. Jadi jangan terlalu disikapi dengan sangat serius. Hehehehe.","1801883995950694675","","citarasalokal","in","","0","0","0","https://x.com/citarasalokal/status/1801883995950694675","19995064","citarasalokal"
"1801883946227220874","Sat Jun 15 07:46:24 +0000 2024","0","IKN wujudkan Indonesia maju https://t.co/DiG3wIvEnv","1801883946227220874","https://pbs.twimg.com/media/GQGT5IQbsAAaHjv.jpg","","in","","0","0","0","https://x.com/AnitaSa08874916/status/1801883946227220874","1530112762361155585","AnitaSa08874916"
